Decision Tree with Optimized Hyperparameters Confusion Matrix
Metric,Value
Accuracy,0.6806223302022916
Precision,0.6806223302022916
Recall,1.0
F1-score,0.8099646398490576
ROC AUC,0.5

0 precision,0.0
0 recall,0.0
0 f1-score,0.0
0 support,56000.0
1 precision,0.6806223302022916
1 recall,1.0
1 f1-score,0.8099646398490576
1 support,119341.0
macro avg precision,0.3403111651011458
macro avg recall,0.5
macro avg f1-score,0.4049823199245288
macro avg support,175341.0
weighted avg precision,0.4632467563699972
weighted avg recall,0.6806223302022916
weighted avg f1-score,0.5512800205555255
weighted avg support,175341.0

